Desc,Desc - Split 1,Desc - Split 2,ID,Portion,Calcium,Calories,Carbs,Chol,Fat,Fiber,Potassium,Protein,Sodium,Sugar,Vitamin C,Water
"WHEY,ACID,DRIED",WHEY,ACID,1113,1 cup,2054,339,73.45,3,0.54,0,2289,11.73,968,73.45,0.9,3.51
"WHEY,SWEET,FLUID",WHEY,SWEET,1114,1 cup,47,27,5.14,2,0.36,0,161,0.85,54,5.14,0.1,93.12
"WHEY,SWEET,DRIED",WHEY,SWEET,1115,1 cup,796,353,74.46,6,1.07,0,2080,12.93,1079,74.46,1.5,3.19
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",YOGURT,PLN,1116,"1 container,  (6 oz)",121,61,4.66,13,3.25,0,155,3.47,46,4.66,0.5,87.9
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",YOGURT,PLN,1117,"1 container,  (6 oz)",183,63,7.04,6,1.55,0,234,5.25,70,7.04,0.8,85.07
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",YOGURT,PLN,1118,"1 container,  (6 oz)",199,56,7.68,2,0.18,0,255,5.73,77,7.68,0.9,85.23
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",YOGURT,VANILLA,1119,"1 container,  (6 oz)",171,85,13.8,5,1.25,0,219,4.93,66,13.8,0.8,79
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",YOGURT,FRUIT,1120,"1 container,  (6 oz)",138,99,18.64,5,1.15,0,177,3.98,53,18.64,0.6,75.3
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",YOGURT,FRUIT,1121,"1 container,  (6 oz)",152,102,19.05,4,1.08,0,195,4.37,58,19.05,0.7,74.48
"EGG,WHL,RAW,FRSH",EGG,WHL,1123,1 large,56,143,0.72,372,9.51,0,138,12.56,142,0.37,0,76.15
"EGG,WHITE,RAW,FRESH",EGG,WHITE,1124,1 large,7,52,0.73,0,0.17,0,163,10.9,166,0.71,0,87.57
"EGG,YOLK,RAW,FRSH",EGG,YOLK,1125,1 large,129,322,3.59,1085,26.54,0,109,15.86,48,0.56,0,52.31
"EGG,YOLK,RAW,FRZ,PAST",EGG,YOLK,1126,1 oz,134,296,0.81,991,25.6,0,121,15.53,67,0.16,0,56.44
"EGG,YOLK,RAW,FRZ,SUGARED,PAST",EGG,YOLK,1127,1 oz,124,307,10.95,917,22.82,0,105,13.87,70,10.3,0,51.23
"EGG,WHL,CKD,FRIED",EGG,WHL,1128,1 large,62,196,0.83,401,14.84,0,152,13.61,207,0.4,0,69.47
"EGG,WHL,CKD,HARD-BOILED",EGG,WHL,1129,"1 cup, chopped",50,155,1.12,373,10.61,0,126,12.58,124,1.12,0,74.62
"EGG,WHOLE,COOKED,OMELET",EGG,WHOLE,1130,1 tbsp,48,154,0.64,313,11.66,0,117,10.57,155,0.31,0,76.13
"EGG,WHL,CKD,POACHED",EGG,WHL,1131,1 large,56,143,0.71,370,9.47,0,138,12.51,297,0.37,0,75.85
"EGG,WHL,CKD,SCRMBLD",EGG,WHL,1132,1 large,66,149,1.61,277,10.98,0,132,9.99,145,1.39,0,76.4
"EGG,WHL,DRIED",EGG,WHL,1133,"1 cup,  sifted",244,592,1.13,1630,43.9,0,540,48.05,476,0.56,0,2.78
"EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED",EGG,WHITE,1135,1 oz,83,351,4.17,0,0.04,0,1042,76.92,1156,0,0,14.62
"EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED",EGG,WHITE,1136,"1 cup,  sifted",89,376,4.47,0,0.04,0,1116,82.4,1238,0,0,8.54
"EGG,YOLK,DRIED",EGG,YOLK,1137,"1 cup,  sifted",289,669,0.66,2307,59.13,0,264,33.63,149,0.23,0,3.08
"EGG,DUCK,WHOLE,FRESH,RAW",EGG,DUCK,1138,1 egg,64,185,1.45,884,13.77,0,222,12.81,146,0.93,0,70.83
"EGG,GOOSE,WHOLE,FRESH,RAW",EGG,GOOSE,1139,1 egg,60,185,1.35,852,13.27,0,210,13.87,138,0.94,0,70.43
"EGG,QUAIL,WHOLE,FRESH,RAW",EGG,QUAIL,1140,1 egg,64,158,0.41,844,11.09,0,132,13.05,141,0.4,0,74.35
"EGG SUBSTITUTE,POWDER",EGG SUBSTITUTE,POWDER,1144,.35 oz,326,444,21.8,572,13,0,744,55.5,800,21.8,0.8,3.86
"BUTTER,WITHOUT SALT",BUTTER,WITHOUT SALT,1145,"1 pat,  (1"" sq, 1/3"" high)",24,717,0.06,215,81.11,0,24,0.85,11,0.06,0,17.94
"CHEESE,PARMESAN,SHREDDED",CHEESE,PARMESAN,1146,1 tbsp,1253,415,3.41,72,27.34,0,97,37.86,1696,0.9,0,25
"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",MILK,NONFAT,1151,1 cup,122,34,4.96,2,0.08,0,156,3.37,42,5.09,0,90.84
"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",MILK,DRY,1154,.25 cup,1257,362,51.98,20,0.77,0,1794,36.16,535,51.98,6.8,3.16
"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",MILK,DRY,1155,1 cup,1231,358,52.19,18,0.72,0,1705,35.1,549,52.19,5.6,3.96
"CHEESE,GOAT,HARD TYPE",CHEESE,GOAT,1156,1 oz,895,452,2.17,105,35.59,0,48,30.52,423,2.17,0,29.01
"CHEESE,GOAT,SEMISOFT TYPE",CHEESE,GOAT,1157,1 oz,298,364,0.12,79,29.84,0,158,21.58,415,0.12,0,45.52
"CHEESE,GOAT,SOFT TYPE",CHEESE,GOAT,1159,1 oz,140,264,0,46,21.08,0,26,18.52,459,0,0,60.75
"EGG,YOLK,RAW,FRZ,SALTED,PAST",EGG,YOLK,1160,1 oz,113,275,1.77,912,22.93,0,111,14.07,3487,0.07,0,50.87
"CHEESE SUB,MOZZARELLA",CHEESE SUB,MOZZARELLA,1161,"1 cup, shredded",610,248,23.67,0,12.22,0,455,11.47,685,23.67,0.1,47.36
"CHEESE SAU,PREP FROM RECIPE",CHEESE SAU,PREP FROM RECIPE,1164,2 tbsp,311,197,5.48,38,14.92,0.1,142,10.33,493,0.19,0.6,66.86
"CHEESE,MEXICAN,QUESO ANEJO",CHEESE,MEXICAN,1165,"1 cup, crumbled",680,373,4.63,105,29.98,0,87,21.44,1131,4.63,0,38.06
"CHEESE,MEXICAN,QUESO ASADERO",CHEESE,MEXICAN,1166,"1 cup, diced",661,356,2.87,105,28.26,0,86,22.6,705,2.87,0,42.16
